Note_Antonella,IDML,Categoria,Prodotto,Pagina,Pagina_fine,SKU_presenti_nel_prodotto,Num_prodotti_per_categoria,Num_SKU_per_prodotto,Num_SKU_per_categoria
ELIMINARE - SLH 868,0,Accessori per automazioni,Sistema 868MHz SLH LR,208,209,102845; 390205; 412006; 785534; 787009; 787010; 787023; 787024; 787725; 787832; 787834; 787854; 787855; 7870091; 7870101,27,15,142
ELIMINARE - SLH 433,0,Accessori per automazioni,Sistema 433MHz SLH LR,210,211,102845; 390205; 412003; 785534; 787007; 787008; 787023; 787024; 787725; 787831; 787833; 787852; 787853; 7870071; 7870081,27,15,142
ELIMINARE - SLHP LR,0,Accessori per automazioni,Sistema SLHP LR,212,213,103054; 103337; 404015; 785535; 785538; 787007; 787008; 787009; 787010; 787833; 787834; 799349; 7870071; 7870081; 7870091; 7870101,27,16,142
,,Accessori per automazioni,Sistema 433MHz RC,214,215,109951; 390211; 412003; 787023; 787024; 787456; 787725; 787831; 787856; 787857,27,10,142
,,Accessori per automazioni,Datori d'impulso semplici,216,219,391456; 401012; 401013; 401014; 401015; 401016; 401017; 401044; 401045; 401046; 401047; 401064; 401065; 401075; 401080; 401302; 401303; 401304; 401305; 712052; 720316; 737100; 790064; 790065; 71275101,27,25,142
,,Accessori per automazioni,Datori d'impulso elettronici,220,222,401048; 401064; 401065; 401075; 401080; 401306; 404037; 404038; 404039; 737100; 786040; 786041; 790064; 790065,27,14,142
,0,Accessori per automazioni,Datori d'impulso per applicazioni speciali,223,222,,27,0,142
,,Accessori per automazioni,Alimentatore supplementare,223,223,720050; 785527; 785529; 790904,27,4,142
,,Accessori per automazioni,Fotocellule da parete orientabili,224,225,105128; 401070; 401075; 401080; 737100; 785102; 785103; 785104; 790062,27,9,142
,,Accessori per automazioni,Fotocellule da parete o incasso,226,226,401064; 401065; 401070; 401075; 401080; 737100; 785105; 785106; 7851051; 7851061,27,10,142
,,Accessori per automazioni,XS Costa di sicurezza,227,228,105531; 105535; 105536; 105537; 105538; 105547; 105592; 105593; 105594; 105598; 105687; 105781; 105782; 785200; 787012; 787013,27,16,142
,0,Accessori per automazioni,Unità di controllo per coste di sicurezza,229,229,785200,27,1,142
,0,Accessori per automazioni,Sistema Radio Coste,230,230,787012; 787013,27,2,142
,0,Accessori per automazioni,SAFEcoder,231,231,404035; 404040; 404041,27,3,142
,0,Accessori per automazioni,XLC,232,232,390130,27,1,142
,0,Accessori per automazioni,XUSB,233,233,202274,27,1,142
,,Accessori per automazioni,Sensori Laser,234,234,105043; 401075; 430003; 737100; 785028; 785031; 785541,27,7,142
,,Accessori per automazioni,M60 Costa elettromeccanica,235,235,736425; 736426; 736427; 736428; 736429,27,5,142
,0,Accessori per automazioni,SAFE PRO - misuratore curva d'impatto,236,236,950224,27,1,142
,0,Accessori per automazioni,Lampeggiatori,237,237,410017; 410029,27,2,142
,,Accessori per automazioni,Accessori e materiali di consumo,238,238,401026; 712650; 712990; 714017; 714041; 712651001; 712651010; 712652001; 712652010,27,9,142
,0,Automazioni per serrande avvolgibili,,239,239,,4,0,13
,,Automazioni per serrande avvolgibili,RL200,240,241,109950; 391450; 391452; 391453; 391454; 391456; 720119; 790905,4,8,13
,,Automazioni per serrande avvolgibili,RH200B,242,243,109960; 109961; 391450; 391452; 391453; 391454; 391456; 720119; 790905,4,9,13
,,Automazioni per serrande avvolgibili,RH240,244,245,109971; 391450; 391455; 391456; 720119; 790905,4,6,13
,0,Automazioni per serrande avvolgibili,RH240B,246,247,109981; 391450; 391455; 391456; 720119; 790905,4,6,13
,0,Porte e ingressi automatici,,248,251,,0,0,0
,0,Varchi tornelli e barriere automatiche,,252,253,,0,0,0
,0,Dissuasori di traffico e di sicurezza,,254,257,,0,0,0
,0,Controllo accessi Keydom,,258,259,,0,0,0
,0,Bussole e varchi di sicurezza,,260,261,,0,0,0
,0,Schemi di installazione tipo,,262,285,,0,0,0
,0,Ricambi,,286,286,,0,0,0
,0,Condizioni di vendita,,287,289,,0,0,0
,0,Indice analitico,,290,292,,0,0,0
,,Schemi di installazione,392 C,263,263,,,,
,,Schemi di installazione,390 230V,263,263,,,,
,,Schemi di installazione,412,264,264,,,,
,,Schemi di installazione,413 230V,264,264,,,,
,,Schemi di installazione,415 230V,265,265,,,,
,,Schemi di installazione,415 24V,265,265,,,,
,,Schemi di installazione,S418,266,266,,,,
,,Schemi di installazione,402,266,266,,,,
,,Schemi di installazione,S450H,267,267,,,,
,,Schemi di installazione,422,267,267,,,,
,,Schemi di installazione,400,268,268,,,,
,,Schemi di installazione,770N 230V,268,268,,,,
,,Schemi di installazione,770N 24V,269,269,,,,
,,Schemi di installazione,S800H ENC,269,269,,,,
,,Schemi di installazione,S800 ENC,270,270,,,,
,,Schemi di installazione,740,270,270,,,,
,,Schemi di installazione,740 C,271,271,,,,
,,Schemi di installazione,741 C,271,271,,,,
,,Schemi di installazione,741,272,272,,,,
,,Schemi di installazione,C4000I,273,273,,,,
,,Schemi di installazione,S2500I,273,273,,,,
,,Schemi di installazione,C720,272,272,,,,
,,Schemi di installazione,C721,274,274,,,,
,,Schemi di installazione,746 C,274,274,,,,
,,Schemi di installazione,844 C,275,275,,,,
,,Schemi di installazione,844 C 3PH,275,275,,,,
,,Schemi di installazione,884 MC 3PH,276,276,,,,
,,Schemi di installazione,C851,276,276,,,,
,,Schemi di installazione,D600,277,277,,,,
,,Schemi di installazione,D700 HS,277,277,,,,
,,Schemi di installazione,D1000,278,278,,,,
,,Schemi di installazione,540,278,278,,,,
,,Schemi di installazione,541,279,279,,,,
,,Schemi di installazione,541 3PH,279,279,,,,
,,Schemi di installazione,550,280,280,,,,
,,Schemi di installazione,593,280,280,,,,
,,Schemi di installazione,580,281,281,,,,
,,Schemi di installazione,B614,282,282,,,,
,,Schemi di installazione,615BPR,282,282,,,,
,,Schemi di installazione,620 Standard,283,283,,,,
,,Schemi di installazione,620 Rapida,283,283,,,,
,,Schemi di installazione,B680H,281,281,,,,
,,Schemi di installazione,RL200,284,284,,,,
,,Schemi di installazione,RH200B,284,284,,,,
,,Schemi di installazione,RH240,285,285,,,,
,,Schemi di installazione,RH240B,285,285,,,,
