page_start;page_end;product;folder;CE;Safe;Green;Omnidec;2Easy;Hybrid;Classe_II;Wireless;all_badges;badge_files;qr_code;qr_codes_all;badge_texts_styled
074;075;412;074-075_412;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_CE_bw.ai;logo_greentech_cmyk.ai";;;"<b>Sistema 230V GREENtech:</b>;Altri accessori;Trasmittenti e riceventi;un attuatore elettromeccanico (DX o SX), accessori per l’installazione, una chiave di sblocco, un condensatore di spunto 8μF 400V.;Accessori"
076;077;413 230V;076-077_413_230V;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_CE_bw.ai";;;"Altri accessori;<b>Sistema 230V SAFEzone:</b>;413 230V + E045S o E145S + SAFEcoder;(per scheda E045 o E045S con fotocellula no BUS);un attuatore elettromeccanico, accessori per l’installazione, una chiave di sblocco, un condensatore di spunto 6,3μF 400V."
078;079;415 230V;078-079_415_230V;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_CE_bw.ai";;;"SAFEcoder encoder assoluto magnetico BUS;Codice articolo;Altri accessori;Accessori;un attuatore elettromeccanico, accessori per l’installazione, una chiave di sblocco, un condensatore di spunto 8μF 400V."
080;081;415 24V;080-081_415_24V;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_greentech_cmyk.ai;logo_safezone_cmyk.ai;logo_CE_bw.ai";;;"Accessori;(per scheda E045 o E045S o E024S con fotocellula no BUS);un attuatore elettromeccanico, accessori per l’installazione e una chiave di sblocco.;Sistema 24V SAFEzone:;Fotocellule e colonnette"
082;083;390 230V;082-083_390_230V;logo_CE_bw.ai;;logo_greentech_cmyk.ai;;;;;;"CE;Green";"logo_greentech_cmyk.ai;logo_CE_bw.ai";;;"Altri accessori;Fotocellule e colonnette;Sistema 230V GREENtech:;Codice articolo;Trasmittenti e riceventi"
084;085;392 C;084-085_392_C;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Omnidec;Safe";"logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_CE_bw.ai;logo_2easy_bw.ai;logo_safezone_cmyk.ai";;;"Codice articolo;<b>Sistema GREENtech:</b>;Accessori;Trasmittenti e riceventi;Accessori vari"
086;087;402;086-087_402;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_CE_bw.ai";;;"Altri accessori;Sistema GREENtech:;un attuatore oleodinamico con blocco idraulico in chiusura, accessori per l’installazione, una chiave di sblocco triangolare, un condensatore di spunto 8μF 400V.;un attuatore oleodinamico senza blocco idraulico in chiusura, accessori per l’installazione, una chiave di sblocco triangolare, un condensatore di spunto 8μF 400V.;Codice articolo"
088;089;422;088-089_422;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_CE_bw.ai;logo_greentech_cmyk.ai;logo_safezone_cmyk.ai";;;"Sistema 230V GREENtech:;Altri accessori;Accessori;Trasmittenti e riceventi;(per scheda E045, E045S, E024S o E034 con fotocellula no BUS)"
090;091;400;090-091_400;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_CE_bw.ai";;;"Sistema 230V GREENtech:;Codice articolo;Accessori vari;Fotocellule e colonnette;L’attuatore con blocco è sconsigliato quando non si può accedere al dispositivo di sblocco manuale (ante pannellate o mancanza di altro accesso alla proprietà)."
092;094;S450H;092-094_S450H;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;logo_2easy_bw.ai;logo_Hybrid_bw.ai;;;"2Easy;CE;Green;Hybrid;Safe";"logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_2easy_bw.ai;logo_Hybrid_bw.ai";;;"Codice articolo;Tecnologia HYbrid (Oleodinamico + 24V).;Encoder assoluto SAFEcoder integrato con funzione di antischiacciamento e inversione su ostacolo.;Trasmittenti e riceventi;Sistema 24V SAFEzone:"
096;097;S2500I;096-097_S2500I;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Safe";"logo_2easy_bw.ai;logo_greentech_cmyk.ai;logo_safezone_cmyk.ai;logo_CE_bw.ai";;;"Fotocellule e colonnette;Sistema 24V GREENtech:;Sistema 24V SAFEzone:;7,9 Kg (attuatore) - 3,3 Kg (cerniera) - 1,8 Kg (cover);(per scheda E045, E045S, E024S o E034 con fotocellula no BUS)"
098;099;770N 230V;098-099_770N_230V;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_CE_bw.ai;logo_greentech_cmyk.ai";;;"(per scheda E045, E045S, E024S o E034 con fotocellula no BUS);un attuatore elettromeccanico, accessori per l'installazione, due chiavi di sblocco ed un condensatore di spunto 12,5μF 400V.;una cassetta portante, un coperchio in acciaio inox, una staffa di sostegno anta dotata di sistema di sblocco a leva, due chiavi di sblocco, accessori per l’installazione.;Fotocellule e colonnette;Trasmittenti e riceventi"
