codice_sku,num_variants,variant_num,tipo_componente,nome_modello,descrizione_breve,tensione_alimentazione,potenza_massima
108801,3,2,Modello,S800 ENC CBAC 180°,Attuatore oleodinamico 230V interrato,220-240V~ 50/60 Hz,220 W
108801,3,3,accessorio,,,,
108802,3,1,Modello,S800 ENC SBW 100°,,220-240V~ 50/60 Hz,220 W
108802,3,2,Modello,S800 ENC SBW 100°,Attuatore oleodinamico 230V interrato,220-240V~ 50/60 Hz,220 W
108802,3,3,accessorio,,,,
108803,3,1,Modello,S800 ENC SBW 180°,,220-240V~ 50/60 Hz,220 W
108803,3,2,Modello,S800 ENC SBW 180°,Attuatore oleodinamico 230V interrato,220-240V~ 50/60 Hz,220 W
108803,3,3,accessorio,,,,
109001,3,1,Modello,C4000I,,220-240V~ 50/60 Hz,150 W
109001,3,2,Modello,C4000I,Motoriduttore integrato 24V,220-240V ~ 50/60 Hz,150 W
109001,3,3,accessorio,,C4000I Motoriduttore con scheda incorporata,,
109320,3,1,Modello,C720 24V,Motoriduttore elettromeccanico C720 con apparecchiatura elettronica incorporata e piastra di fondazione,220-240V~ 50/60 Hz,170 W
109320,3,2,Modello,C720 24V,Motoriduttore 24V in bassa tensione,220-240V~ 50/60 Hz,170 W
109320,3,3,accessorio,,Motoriduttore C720 con apparecchiatura elettronica incorporata e piastra di fondazione,,
109321,3,1,Modello,C721 24V,,220-240V~ 50/60 Hz,290 W
109321,3,2,Modello,C721 24V,Motoriduttore 24V in bassa tensione,220-240V~ 50/60 Hz,290 W
109321,3,3,accessorio,,Motoriduttore C721 con apparecchiatura elettronica incorporata e piastra di fondazione,,
109600,3,1,Modello,740 C con encoder,Motoriduttore 740 C Z16 con apparecchiatura elettronica ed encoder incorporati,220-240V~ 50/60 Hz,430 W
109600,3,2,Modello,740 C con encoder,Motoriduttore 230V,220-240V~ 50/60 Hz,430 W
109600,3,3,accessorio,,"Motoriduttore 740 C con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",,
109602,3,1,Modello,741 C con encoder,Motoriduttore 741 C Z16 con apparecchiatura elettronica ed encoder incorporati e piastra di fondazione,220-240V~ 50/60 Hz,530 W
109602,3,2,Modello,741 C con encoder,Motoriduttore 230V,220-240V~ 50/60 Hz,530 W
109602,3,3,accessorio,,"Motoriduttore 741 C con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",,
109745,3,1,Modello,746 C Z16,Motoriduttore 746 C Z16 con apparecchiatura elettronica ed encoder incorporati,220-240V~ 50/60 Hz,150 W
109745,3,2,Modello,746 C Z16,Motoriduttore 230V,220-240V~ 50/60 Hz,150 W
109745,3,3,accessorio,,Motoriduttore 746 C Z16,,
109746,3,1,Modello,746 C Z20,,220-240V~ 50/60 Hz,150 W
109746,3,2,Modello,746 C Z20,Motoriduttore 230V,220-240V~ 50/60 Hz,150 W
109746,3,3,accessorio,,,,
1097805,3,1,Modello,740 E Z16 con encoder,"Motoriduttore 740 E Z16 con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",220-240V~ 50/60 Hz,350 W
1097805,3,2,Modello,740 E Z16 con encoder,Motoriduttore 230V,220-240V~ 50/60 Hz,350 W
